construct,promoter,name,ts,miR,ts_num,ts_kind,ts_loc,miR_loc,design,group,pKG
RC602,EF1a,EF1a-mRuby2-TS.FF6x1-bGH,FF6x1,none,1,NT,3',separate,0,dual,3011
RC603,EF1a,EF1a-TS.FF4x1-mRuby2-bGH,FF4x1,none,1,T,5',separate,0,dual,3012
RC604,EF1a,EF1a-TS.FF6x1-mRuby2-bGH,FF6x1,none,1,NT,5',separate,0,dual,3013
GEEC301,TRE3G,TRE3G-mRuby2-bGH,none,none,0,na,na,na,0,base,1384
RC240,EF1a,EF1a-NLS-iCre-2A-mRuby2(miRE-FF4)-TS.FF4x1-bGH,FF4x1,miRE.FF4,1,T,3',CDS,1,controller,3014
RC241,EF1a,EF1a-MCP-Halo-NLS-bGH,none,none,0,na,na,na,0,base,0
RC242,EF1a,EF1a-MCP-Halo(miRE.FF4)-NLS-TS.FF6x1-bGH,FF6x1,miRE.FF4,1,NT,3',CDS,1,controller,0
RC243,EF1a,EF1a-MCP-Halo(miRE.FF4)-NLS-TS.FF4x1-bGH,FF4x1,miRE.FF4,1,T,3',CDS,1,controller,0
RC245,EF1a,EF1a-mGL-53BP1-bGH,none,none,0,na,na,na,0,base,0
RC246,EF1a,EF1a-mGL(miRE.FF4)-53BP1-TS.FF6x1-bGH,FF6x1,miRE.FF4,1,NT,3',CDS,1,controller,0
RC247,EF1a,EF1a-mGL(miRE.FF4)-53BP1-TS.FF4x1-bGH,FF4x1,miRE.FF4,1,T,3',CDS,1,controller,0
RC248,EF1a,EF1a-mGL-mp53-bGH,none,none,0,na,na,na,0,base,0
RC249,EF1a,EF1a-mGL(miRE.FF4)-mp53-TS.FF6x1-bGH,FF6x1,miRE.FF4,1,NT,3',CDS,1,controller,0
RC250,EF1a,EF1a-mGL(miRE.FF4)-mp53-TS.FF4x1-bGH,FF4x1,miRE.FF4,1,T,3',CDS,1,controller,0
RC251,EF1a,EF1a-Halo-mp53-bGH,none,none,0,na,na,na,0,base,0
